# Thermal Emission of Dark Photons from Earth's Core
# arXiv: https://arxiv.org/abs/2606.26253
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.80
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    kinetic mixing chi
1.000000e-04   1.224745e-07
1.300000e-04   9.797959e-08
1.700000e-04   7.348469e-08
2.200000e-04   5.511352e-08
3.000000e-04   3.919184e-08
4.000000e-04   2.816913e-08
5.000000e-04   2.082066e-08
7.000000e-04   1.408457e-08
1.000000e-03   9.185587e-09
1.500000e-03   5.756301e-09
2.000000e-03   4.164133e-09
3.000000e-03   2.694439e-09
4.000000e-03   1.959592e-09
5.000000e-03   1.592168e-09
7.000000e-03   1.102270e-09
1.000000e-02   7.593418e-10
1.500000e-02   4.898979e-10
2.000000e-02   3.674235e-10
3.000000e-02   2.449490e-10
4.000000e-02   1.837117e-10
5.000000e-02   1.469694e-10
7.000000e-02   1.041033e-10
1.000000e-01   7.348469e-11
1.300000e-01   5.756301e-11
1.500000e-01   5.143928e-11
