# Self-Interaction and Galactic Magnetic Field Bounds on Millicharged Magnetic Monopole Dark Matter
# arXiv: https://arxiv.org/abs/2604.19873
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.72
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    kinetic mixing chi
1.000000e+01   1.469694e-04
1.500000e+01   1.837117e-04
2.500000e+01   2.694439e-04
5.000000e+01   4.286607e-04
1.000000e+02   6.368673e-04
1.500000e+02   9.185587e-04
2.500000e+02   1.347219e-03
4.000000e+02   1.959592e-03
6.000000e+02   2.694439e-03
1.000000e+03   4.286607e-03
1.500000e+03   6.368673e-03
2.500000e+03   9.797959e-03
4.000000e+03   1.469694e-02
6.000000e+03   2.204541e-02
1.000000e+04   3.429286e-02
1.500000e+04   5.143928e-02
2.500000e+04   7.960842e-02
4.000000e+04   1.163508e-01
6.000000e+04   1.690148e-01
1.000000e+05   2.351510e-01
1.500000e+05   2.633201e-01
2.500000e+05   2.878150e-01
4.000000e+05   3.037367e-01
6.000000e+05   3.159842e-01
1.000000e+06   3.282316e-01
1.500000e+06   3.368048e-01
2.500000e+06   3.453781e-01
4.000000e+06   3.527265e-01
6.000000e+06   3.576255e-01
1.000000e+07   3.612997e-01
