# Constraining Multiple Kinetically Mixed Dark Photons
# arXiv: https://arxiv.org/abs/2606.26240
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.40
# mass [eV]    kinetic mixing chi
1.000000e-09   3.000000e-05
3.000000e-09   1.000000e-05
1.000000e-08   4.000000e-06
3.000000e-08   1.500000e-06
1.000000e-07   6.000000e-07
3.000000e-07   3.000000e-07
1.000000e-06   2.000000e-07
3.000000e-06   2.000000e-07
1.000000e-05   3.000000e-07
3.000000e-05   5.000000e-07
8.000000e-05   8.000000e-07
1.500000e-04   6.000000e-07
3.000000e-04   5.000000e-07
1.000000e-03   5.000000e-07
3.000000e-03   5.000000e-07
8.000000e-03   5.000000e-09
1.000000e-02   5.000000e-07
2.000000e-02   2.000000e-09
3.000000e-02   5.000000e-07
5.000000e-02   8.000000e-10
8.000000e-02   5.000000e-07
1.000000e-01   4.000000e-10
3.000000e-01   1.000000e-10
1.000000e+00   3.000000e-11
3.000000e+00   8.000000e-12
1.000000e+01   2.000000e-12
3.000000e+01   6.000000e-13
1.000000e+02   3.000000e-13
3.000000e+02   5.000000e-13
1.000000e+03   2.000000e-12
3.000000e+03   1.000000e-11
8.000000e+03   8.000000e-11
