# New physics searches at NA62
# arXiv: https://arxiv.org/abs/2604.08954
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
6.000000e+07   1.000000e+00
6.000000e+07   5.500000e-04
6.500000e+07   5.000000e-04
7.000000e+07   3.900000e-04
7.500000e+07   3.200000e-04
8.000000e+07   2.800000e-04
8.500000e+07   3.500000e-04
9.000000e+07   4.200000e-04
9.500000e+07   3.900000e-04
1.000000e+08   3.500000e-04
1.050000e+08   3.600000e-04
1.100000e+08   3.900000e-04
1.150000e+08   4.500000e-04
1.200000e+08   5.500000e-04
1.250000e+08   7.100000e-04
1.300000e+08   8.900000e-04
1.350000e+08   1.100000e-03
1.400000e+08   1.200000e-03
1.400000e+08   1.000000e+00
