# New physics searches at NA62
# arXiv: https://arxiv.org/abs/2604.08954
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
6.000000e+07   1.000000e+00
6.000000e+07   3.200000e-08
6.500000e+07   2.800000e-08
7.000000e+07   2.200000e-08
7.200000e+07   2.000000e-08
7.500000e+07   1.800000e-08
7.800000e+07   1.600000e-08
8.000000e+07   1.500000e-08
8.200000e+07   1.400000e-08
8.500000e+07   1.300000e-08
8.800000e+07   1.200000e-08
9.000000e+07   1.150000e-08
9.200000e+07   1.100000e-08
9.500000e+07   1.000000e-08
9.800000e+07   9.500000e-09
1.000000e+08   9.000000e-09
1.020000e+08   8.800000e-09
1.050000e+08   8.500000e-09
1.080000e+08   8.300000e-09
1.100000e+08   8.200000e-09
1.120000e+08   8.400000e-09
1.150000e+08   8.800000e-09
1.180000e+08   9.500000e-09
1.200000e+08   1.020000e-08
1.220000e+08   1.150000e-08
1.250000e+08   1.420000e-08
1.280000e+08   2.000000e-08
1.300000e+08   3.200000e-08
1.320000e+08   5.500000e-08
1.350000e+08   8.200000e-08
1.400000e+08   1.800000e-07
1.400000e+08   1.000000e+00
