# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
1.000000e+06   2.000000e-06
2.000000e+06   2.400000e-06
3.000000e+06   3.200000e-06
5.000000e+06   4.000000e-06
8.000000e+06   6.000000e-06
1.000000e+07   8.000000e-06
1.500000e+07   1.200000e-05
2.000000e+07   1.600000e-05
3.000000e+07   2.200000e-05
5.000000e+07   3.200000e-05
7.000000e+07   4.000000e-05
1.000000e+08   6.000000e-05
1.500000e+08   8.000000e-05
2.000000e+08   1.000000e-04
3.000000e+08   1.280000e-04
4.000000e+08   1.600000e-04
5.000000e+08   2.000000e-04
7.000000e+08   2.800000e-04
1.000000e+09   4.000000e-04
