# Constraints on Ultralight Scalar and Dark Photon Dark Matter from PPTA-DR3 and EPTA-DR2
# arXiv: https://arxiv.org/abs/2605.02172
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.4)=1.0607
# mass [eV]    kinetic mixing chi
1.780000e-24   1.187939e-11
2.000000e-24   1.060660e-11
2.500000e-24   9.015611e-12
3.000000e-24   7.424621e-12
3.500000e-24   6.363961e-12
4.000000e-24   5.833631e-12
4.500000e-24   5.515433e-12
5.000000e-24   5.303301e-12
6.000000e-24   5.091169e-12
7.000000e-24   4.985103e-12
8.000000e-24   4.879037e-12
9.000000e-24   4.826004e-12
1.000000e-23   4.772971e-12
1.200000e-23   4.751758e-12
1.400000e-23   4.772971e-12
1.600000e-23   4.826004e-12
1.800000e-23   4.900250e-12
2.000000e-23   4.985103e-12
2.500000e-23   5.303301e-12
3.000000e-23   5.833631e-12
3.500000e-23   6.576093e-12
4.000000e-23   7.424621e-12
5.000000e-23   9.545942e-12
6.000000e-23   1.219759e-11
7.000000e-23   1.590990e-11
8.000000e-23   2.121320e-11
9.000000e-23   2.969848e-11
1.000000e-22   4.242641e-11
1.200000e-22   7.954951e-11
1.500000e-22   1.909188e-10
1.780000e-22   5.303301e-10
