# Spectral distortion anisotropies from photon to dark photon conversions
# arXiv: https://arxiv.org/abs/2606.09491
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.85
# mass [eV]    kinetic mixing chi
1.000000e-12   4.300000e-06
2.000000e-12   3.000000e-06
5.000000e-12   2.000000e-06
1.000000e-11   1.500000e-06
2.000000e-11   1.000000e-06
5.000000e-11   6.000000e-07
1.000000e-10   3.500000e-07
2.000000e-10   2.000000e-07
4.000000e-10   1.100000e-07
7.000000e-10   7.500000e-08
9.000000e-10   6.500000e-08
1.000000e-09   6.200000e-08
1.300000e-09   6.500000e-08
1.700000e-09   6.000000e-08
2.500000e-09   6.000000e-08
4.000000e-09   6.000000e-08
6.000000e-09   6.000000e-08
7.500000e-09   7.500000e-08
8.000000e-09   6.000000e-08
9.000000e-09   6.000000e-08
1.200000e-08   6.000000e-08
2.000000e-08   6.000000e-08
4.000000e-08   6.200000e-08
7.000000e-08   6.500000e-08
1.000000e-07   6.500000e-08
2.000000e-07   6.700000e-08
4.000000e-07   6.800000e-08
7.000000e-07   7.000000e-08
1.000000e-06   7.000000e-08
2.000000e-06   7.200000e-08
4.000000e-06   7.400000e-08
7.000000e-06   7.500000e-08
1.000000e-05   7.600000e-08
2.000000e-05   8.000000e-08
3.000000e-05   9.000000e-08
4.000000e-05   1.100000e-07
6.000000e-05   1.600000e-07
8.000000e-05   2.400000e-07
1.000000e-04   3.300000e-07
