# Dark Matter Detection Using Phonon Sensing in Amorphous Materials
# arXiv: https://arxiv.org/abs/2603.22390
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.78
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.4)=1.0607
# mass [eV]    kinetic mixing chi
4.000000e-02   1.000000e+00
4.000000e-02   3.181981e-11
4.500000e-02   1.590990e-11
5.000000e-02   6.363961e-12
5.500000e-02   3.712311e-12
6.000000e-02   2.333452e-12
6.300000e-02   1.803122e-12
6.600000e-02   1.590990e-12
7.000000e-02   1.909188e-12
7.500000e-02   2.333452e-12
8.000000e-02   2.651650e-12
8.500000e-02   2.969848e-12
9.000000e-02   3.181981e-12
9.500000e-02   3.181981e-12
1.000000e-01   2.969848e-12
1.050000e-01   2.651650e-12
1.100000e-01   2.333452e-12
1.150000e-01   1.909188e-12
1.200000e-01   1.378858e-12
1.250000e-01   9.545942e-13
1.300000e-01   7.424621e-13
1.330000e-01   6.363961e-13
1.360000e-01   6.894291e-13
1.400000e-01   8.485281e-13
1.450000e-01   1.060660e-12
1.500000e-01   1.166726e-12
1.550000e-01   1.060660e-12
1.600000e-01   8.485281e-13
1.650000e-01   7.424621e-13
1.700000e-01   6.894291e-13
1.750000e-01   6.894291e-13
1.800000e-01   7.954951e-13
1.850000e-01   9.545942e-13
1.900000e-01   1.166726e-12
1.950000e-01   1.378858e-12
2.000000e-01   1.590990e-12
2.000000e-01   1.000000e+00
