# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.72
# mass [eV]    kinetic mixing chi
1.000000e+06   1.875000e-06
2.000000e+06   1.875000e-06
3.000000e+06   1.875000e-06
5.000000e+06   1.875000e-06
1.000000e+07   1.875000e-06
2.000000e+07   2.812500e-06
3.000000e+07   3.750000e-06
5.000000e+07   5.625000e-06
1.000000e+08   9.375000e-06
1.500000e+08   1.500000e-05
2.000000e+08   1.875000e-05
3.000000e+08   3.750000e-05
4.000000e+08   5.625000e-05
5.000000e+08   9.375000e-05
6.000000e+08   1.312500e-04
7.000000e+08   1.875000e-04
8.000000e+08   2.437500e-04
1.000000e+09   3.750000e-04
