# Dalitz decay of $K^*(892) \rightarrow K \ell^+\ell^-$: A New Probe for Hadronic Structure and Dark Photon Searches
# arXiv: https://arxiv.org/abs/2604.14735
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
5.000000e+07   1.000000e+00
5.000000e+07   4.605263e-04
6.000000e+07   4.539474e-04
7.000000e+07   4.473684e-04
8.000000e+07   4.407895e-04
9.000000e+07   4.342105e-04
1.000000e+08   4.210526e-04
1.100000e+08   4.078947e-04
1.200000e+08   3.947368e-04
1.300000e+08   3.815789e-04
1.400000e+08   3.684211e-04
1.500000e+08   3.552632e-04
1.600000e+08   3.421053e-04
1.700000e+08   3.289474e-04
1.800000e+08   3.157895e-04
1.900000e+08   3.026316e-04
2.000000e+08   2.894737e-04
2.100000e+08   2.763158e-04
2.200000e+08   2.631579e-04
2.300000e+08   2.500000e-04
2.400000e+08   2.368421e-04
2.500000e+08   2.236842e-04
2.600000e+08   2.105263e-04
2.700000e+08   2.039474e-04
2.800000e+08   1.973684e-04
2.900000e+08   1.907895e-04
3.000000e+08   1.842105e-04
3.100000e+08   1.776316e-04
3.200000e+08   1.710526e-04
3.300000e+08   1.644737e-04
3.400000e+08   1.578947e-04
3.500000e+08   1.513158e-04
3.600000e+08   1.447368e-04
3.700000e+08   1.381579e-04
3.800000e+08   1.315789e-04
3.900000e+08   1.250000e-04
4.000000e+08   1.184211e-04
4.000000e+08   1.000000e+00
