# Dalitz decay of $K^*(892) \rightarrow K \ell^+\ell^-$: A New Probe for Hadronic Structure and Dark Photon Searches
# arXiv: https://arxiv.org/abs/2604.14735
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.72
# mass [eV]    kinetic mixing chi
5.000000e+07   1.000000e+00
5.000000e+07   7.000000e-03
6.000000e+07   6.800000e-03
7.500000e+07   6.500000e-03
9.000000e+07   6.200000e-03
1.100000e+08   5.800000e-03
1.300000e+08   5.400000e-03
1.500000e+08   5.000000e-03
1.700000e+08   4.600000e-03
1.900000e+08   4.200000e-03
2.100000e+08   3.800000e-03
2.300000e+08   3.500000e-03
2.500000e+08   3.200000e-03
2.700000e+08   2.900000e-03
2.900000e+08   2.600000e-03
3.100000e+08   2.400000e-03
3.300000e+08   2.200000e-03
3.500000e+08   2.000000e-03
3.650000e+08   1.800000e-03
3.750000e+08   1.500000e-03
3.850000e+08   1.200000e-03
3.950000e+08   1.000000e-03
4.000000e+08   1.000000e-03
4.000000e+08   1.000000e+00
