# Dalitz decay of $K^*(892) \rightarrow K \ell^+\ell^-$: A New Probe for Hadronic Structure and Dark Photon Searches
# arXiv: https://arxiv.org/abs/2604.14735
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
5.000000e+07   1.000000e+00
5.000000e+07   7.000000e-03
6.000000e+07   6.950000e-03
7.000000e+07   6.800000e-03
8.000000e+07   6.600000e-03
9.000000e+07   6.350000e-03
1.000000e+08   6.050000e-03
1.100000e+08   5.750000e-03
1.200000e+08   5.450000e-03
1.300000e+08   5.200000e-03
1.400000e+08   5.050000e-03
1.500000e+08   4.950000e-03
1.600000e+08   4.900000e-03
1.700000e+08   4.880000e-03
1.800000e+08   4.920000e-03
1.900000e+08   5.050000e-03
2.000000e+08   5.250000e-03
2.100000e+08   5.450000e-03
2.200000e+08   5.650000e-03
2.300000e+08   5.800000e-03
2.400000e+08   5.880000e-03
2.500000e+08   5.900000e-03
2.600000e+08   5.850000e-03
2.700000e+08   5.700000e-03
2.800000e+08   5.450000e-03
2.900000e+08   5.150000e-03
3.000000e+08   4.750000e-03
3.100000e+08   4.350000e-03
3.200000e+08   3.950000e-03
3.300000e+08   3.550000e-03
3.400000e+08   3.150000e-03
3.500000e+08   2.750000e-03
3.600000e+08   2.350000e-03
3.700000e+08   1.950000e-03
3.800000e+08   1.550000e-03
3.900000e+08   1.250000e-03
4.000000e+08   1.000000e-03
4.000000e+08   1.000000e+00
