# Dark photon searches in the photon channel
# arXiv: https://arxiv.org/abs/2605.13696
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
1.000000e+06   1.000000e-02
1.500000e+06   8.500000e-03
2.000000e+06   7.000000e-03
3.000000e+06   5.000000e-03
5.000000e+06   2.500000e-03
7.000000e+06   1.500000e-03
1.000000e+07   8.000000e-04
1.200000e+07   6.500000e-04
1.500000e+07   5.000000e-04
2.000000e+07   3.500000e-04
2.500000e+07   2.800000e-04
3.000000e+07   2.300000e-04
4.000000e+07   1.800000e-04
5.000000e+07   1.500000e-04
6.000000e+07   1.250000e-04
7.000000e+07   1.100000e-04
8.000000e+07   1.000000e-04
1.000000e+08   8.500000e-05
1.000000e+08   1.000000e-04
1.200000e+08   7.800000e-05
1.500000e+08   7.000000e-05
2.000000e+08   6.500000e-05
2.500000e+08   6.200000e-05
3.000000e+08   6.000000e-05
4.000000e+08   5.800000e-05
5.000000e+08   5.800000e-05
6.000000e+08   5.900000e-05
7.000000e+08   6.100000e-05
8.000000e+08   6.300000e-05
1.000000e+09   6.800000e-05
