# Dark photon searches in the photon channel
# arXiv: https://arxiv.org/abs/2605.13696
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.85
# mass [eV]    kinetic mixing chi
1.000000e+06   6.617647e-04
1.200000e+06   6.176471e-04
1.500000e+06   5.735294e-04
2.000000e+06   5.294118e-04
2.500000e+06   4.852941e-04
3.000000e+06   4.411765e-04
4.000000e+06   3.750000e-04
5.000000e+06   3.308824e-04
6.000000e+06   3.000000e-04
7.000000e+06   2.735294e-04
8.000000e+06   2.558824e-04
1.000000e+07   2.294118e-04
1.200000e+07   2.117647e-04
1.500000e+07   1.897059e-04
2.000000e+07   1.676471e-04
2.500000e+07   1.500000e-04
3.000000e+07   1.367647e-04
4.000000e+07   1.147059e-04
5.000000e+07   9.705882e-05
6.000000e+07   8.382353e-05
7.000000e+07   7.500000e-05
8.000000e+07   6.617647e-05
1.000000e+08   5.294118e-05
1.200000e+08   4.411765e-05
1.500000e+08   3.529412e-05
2.000000e+08   2.558824e-05
2.500000e+08   1.852941e-05
3.000000e+08   1.411765e-05
5.000000e+08   6.617647e-06
1.000000e+09   2.867647e-06
