# Enhanced Dark Matter Quantum Sensing via Geometric Phase
# arXiv: https://arxiv.org/abs/2603.23599
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.72
# mass [eV]    kinetic mixing chi
1.000000e-03   8.333333e-13
2.000000e-03   6.666667e-13
5.000000e-03   5.000000e-13
1.000000e-02   3.888889e-13
2.000000e-02   3.055556e-13
5.000000e-02   2.111111e-13
1.000000e-01   1.555556e-13
2.000000e-01   1.111111e-13
5.000000e-01   6.666667e-14
1.000000e+00   4.444444e-14
2.000000e+00   2.777778e-14
5.000000e+00   1.555556e-14
1.000000e+01   1.000000e-14
2.000000e+01   6.666667e-15
5.000000e+01   3.888889e-15
1.000000e+02   2.500000e-15
2.000000e+02   1.555556e-15
5.000000e+02   8.333333e-16
1.000000e+03   5.000000e-16
2.000000e+03   3.055556e-16
5.000000e+03   1.666667e-16
1.000000e+04   1.000000e-16
2.000000e+04   6.111111e-17
5.000000e+04   3.333333e-17
1.000000e+05   1.944444e-17
2.000000e+05   1.166667e-17
5.000000e+05   6.666667e-18
1.000000e+06   3.888889e-18
2.000000e+06   2.333333e-18
5.000000e+06   1.277778e-18
