# Enhanced Dark Matter Quantum Sensing via Geometric Phase
# arXiv: https://arxiv.org/abs/2603.23599
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.72
# mass [eV]    coupling
1.000000e-06   1.000000e-11
2.000000e-06   1.200000e-11
5.000000e-06   1.500000e-11
1.000000e-05   2.000000e-11
2.000000e-05   3.000000e-11
5.000000e-05   5.000000e-11
1.000000e-04   8.000000e-11
2.000000e-04   1.200000e-10
5.000000e-04   2.000000e-10
1.000000e-03   3.500000e-10
2.000000e-03   6.000000e-10
5.000000e-03   1.000000e-09
1.000000e-02   1.800000e-09
2.000000e-02   3.200000e-09
5.000000e-02   6.000000e-09
1.000000e-01   1.100000e-08
2.000000e-01   2.000000e-08
5.000000e-01   4.000000e-08
1.000000e+00   7.000000e-08
2.000000e+00   1.300000e-07
5.000000e+00   2.500000e-07
1.000000e+01   4.500000e-07
2.000000e+01   8.000000e-07
5.000000e+01   1.500000e-06
1.000000e+02   2.800000e-06
2.000000e+02   5.000000e-06
5.000000e+02   9.000000e-06
1.000000e+03   1.600000e-05
2.000000e+03   2.800000e-05
5.000000e+03   5.000000e-05
