# Enhanced Dark Matter Quantum Sensing via Geometric Phase
# arXiv: https://arxiv.org/abs/2603.23599
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
1.000000e-05   1.000000e-14
2.000000e-05   1.200000e-14
5.000000e-05   1.500000e-14
1.000000e-04   1.800000e-14
2.000000e-04   2.200000e-14
5.000000e-04   2.800000e-14
1.000000e-03   3.500000e-14
2.000000e-03   4.200000e-14
5.000000e-03   5.500000e-14
1.000000e-02   7.000000e-14
2.000000e-02   9.000000e-14
5.000000e-02   1.200000e-13
1.000000e-01   1.600000e-13
2.000000e-01   2.100000e-13
5.000000e-01   2.800000e-13
1.000000e+00   3.600000e-13
2.000000e+00   4.500000e-13
5.000000e+00   6.000000e-13
1.000000e+01   8.000000e-13
2.000000e+01   1.100000e-12
5.000000e+01   1.500000e-12
1.000000e+02   2.000000e-12
2.000000e+02   2.700000e-12
5.000000e+02   3.600000e-12
1.000000e+03   4.800000e-12
