# Dark Z' at a Muon Collider: Radiative Return versus Vector Boson Fusion
# arXiv: https://arxiv.org/abs/2606.07746
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.55
# mass [eV]    kinetic mixing chi
1.000000e+02   1.200000e-04
1.050000e+02   3.000000e-04
1.100000e+02   8.000000e-04
1.150000e+02   2.000000e-03
1.200000e+02   5.000000e-03
1.300000e+02   9.000000e-03
1.500000e+02   1.200000e-02
1.800000e+02   1.400000e-02
2.200000e+02   1.600000e-02
2.800000e+02   1.800000e-02
3.500000e+02   2.000000e-02
4.500000e+02   2.100000e-02
6.000000e+02   2.200000e-02
8.000000e+02   2.300000e-02
1.000000e+03   2.400000e-02
1.500000e+03   2.500000e-02
2.000000e+03   2.600000e-02
3.000000e+03   2.600000e-02
4.000000e+03   2.500000e-02
5.000000e+03   2.000000e-02
