# A Near-Cutoff Waveguide Haloscope for sub-meV Dark Matter
# arXiv: https://arxiv.org/abs/2605.15820
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    kinetic mixing chi
1.000000e-06   3.014757e-15
2.000000e-06   3.203179e-15
5.000000e-06   3.580023e-15
1.000000e-05   4.145290e-15
2.000000e-05   4.898979e-15
5.000000e-05   6.594780e-15
1.000000e-04   9.797959e-15
2.000000e-04   1.469694e-14
3.000000e-04   1.884223e-14
5.000000e-04   2.826334e-14
7.000000e-04   3.956868e-14
1.000000e-03   5.841091e-14
2.000000e-03   1.036323e-13
3.000000e-03   1.469694e-13
5.000000e-03   2.261067e-13
7.000000e-03   3.203179e-13
1.000000e-02   4.710557e-13
2.000000e-02   9.044270e-13
3.000000e-02   1.318956e-12
5.000000e-02   2.261067e-12
7.000000e-02   3.203179e-12
1.000000e-01   4.710557e-12
2.000000e-01   9.421114e-12
3.000000e-01   1.413167e-11
5.000000e-01   2.449490e-11
7.000000e-01   3.580023e-11
1.000000e+00   5.275824e-11
