# Dark Matter Detection Using Phonon Sensing in Amorphous Materials
# arXiv: https://arxiv.org/abs/2603.22390
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.4 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.4)=1.0607
# mass [eV]    kinetic mixing chi
2.500000e-02   1.000000e+00
2.500000e-02   2.213552e-12
3.000000e-02   1.844626e-12
3.500000e-02   1.660164e-12
4.000000e-02   1.567932e-12
4.500000e-02   1.475701e-12
5.000000e-02   1.438809e-12
6.000000e-02   1.383470e-12
7.000000e-02   1.346577e-12
7.500000e-02   1.328131e-12
8.000000e-02   1.309685e-12
9.000000e-02   1.291238e-12
1.000000e-01   1.272792e-12
1.100000e-01   1.254346e-12
1.200000e-01   1.235900e-12
1.250000e-01   1.217453e-12
1.300000e-01   1.199007e-12
1.400000e-01   1.180561e-12
1.500000e-01   1.162115e-12
1.600000e-01   1.143668e-12
1.700000e-01   1.125222e-12
1.750000e-01   1.106776e-12
1.850000e-01   1.088330e-12
2.000000e-01   1.069883e-12
2.000000e-01   1.000000e+00
