# Hidden-sectors search and probe of discrete symmetries at the REDTOP experiment
# arXiv: https://arxiv.org/abs/2606.12158
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.55
# mass [eV]    kinetic mixing chi
3.000000e+07   3.160000e-03
4.000000e+07   1.000000e-03
5.000000e+07   3.160000e-04
6.000000e+07   1.000000e-04
8.000000e+07   3.160000e-05
1.000000e+08   1.410000e-05
1.300000e+08   7.070000e-06
1.600000e+08   5.000000e-06
2.000000e+08   4.000000e-06
2.500000e+08   3.160000e-06
3.000000e+08   2.740000e-06
3.500000e+08   2.450000e-06
4.000000e+08   2.240000e-06
4.500000e+08   2.450000e-06
5.000000e+08   3.160000e-06
5.500000e+08   4.470000e-06
6.000000e+08   7.070000e-06
6.500000e+08   1.410000e-05
7.000000e+08   3.160000e-05
7.500000e+08   7.070000e-05
8.000000e+08   1.410000e-04
9.000000e+08   3.160000e-04
1.000000e+09   7.070000e-04
