# Detection of hidden photon dark matter using the direct excitation of transmon qubits
# arXiv: https://arxiv.org/abs/2212.03884
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# mass [eV]    kinetic mixing chi
1.000000e-06   1.000000e-07
1.200000e-06   9.500000e-08
1.500000e-06   8.500000e-08
2.000000e-06   7.200000e-08
2.500000e-06   6.000000e-08
3.000000e-06   5.000000e-08
4.000000e-06   3.800000e-08
5.000000e-06   2.800000e-08
6.000000e-06   2.200000e-08
7.000000e-06   1.800000e-08
8.000000e-06   1.500000e-08
1.000000e-05   1.100000e-08
1.200000e-05   8.500000e-09
1.500000e-05   6.000000e-09
2.000000e-05   4.000000e-09
2.500000e-05   2.800000e-09
3.000000e-05   2.000000e-09
4.000000e-05   1.300000e-09
5.000000e-05   9.000000e-10
6.000000e-05   6.500000e-10
8.000000e-05   4.000000e-10
1.000000e-04   2.500000e-10
1.500000e-04   1.200000e-10
2.000000e-04   7.000000e-11
3.000000e-04   3.000000e-11
4.000000e-04   1.500000e-11
