# Dark matter searches with a 13 meV threshold superconducting sensor array
# arXiv: https://arxiv.org/abs/2607.19319
# Coupling type: DarkPhoton
# Extracted from: vector_trace
# Confidence level: 0.9
# Extraction confidence: 0.85
# mass [eV]    kinetic mixing chi
1.296186e-02   1.268091e-11
1.345716e-02   1.096463e-11
1.395235e-02   1.067858e-11
1.444742e-02   1.001114e-11
1.504137e-02   1.001114e-11
1.553620e-02   1.001114e-11
1.612988e-02   9.019519e-12
1.672341e-02   8.905104e-12
1.741570e-02   8.609522e-12
1.800894e-02   8.838356e-12
1.870091e-02   8.209064e-12
1.939271e-02   8.266273e-12
2.008435e-02   7.827675e-12
2.087461e-02   7.627444e-12
2.166468e-02   6.979083e-12
2.245456e-02   6.664440e-12
2.324427e-02   6.397466e-12
2.413249e-02   5.472609e-12
2.502049e-02   5.157967e-12
2.600693e-02   4.719378e-12
2.699313e-02   4.128240e-12
2.797909e-02   3.651520e-12
2.906340e-02   3.108058e-12
2.935907e-02   3.041317e-12
3.014745e-02   2.869700e-12
3.123125e-02   2.659946e-12
3.201931e-02   2.278574e-12
3.241330e-02   2.154632e-12
3.359507e-02   1.801868e-12
3.487503e-02   1.811401e-12
3.615469e-02   1.649323e-12
3.753245e-02   1.592116e-12
3.890990e-02   1.544448e-12
4.038538e-02   1.430038e-12
4.186052e-02   1.487242e-12
4.343364e-02   1.430038e-12
4.500639e-02   1.363301e-12
4.667705e-02   1.458641e-12
4.844557e-02   1.382369e-12
5.031190e-02   1.344232e-12
5.217778e-02   1.391903e-12
5.404323e-02   1.639789e-12
5.512304e-02   1.754197e-12
5.610457e-02   1.859072e-12
5.816542e-02   2.049756e-12
6.032390e-02   2.402522e-12
6.257998e-02   2.888769e-12
6.493360e-02   3.365487e-12
6.738468e-02   4.042430e-12
6.993323e-02   5.377262e-12
7.248116e-02   6.254447e-12
7.404884e-02   8.476038e-12
7.522446e-02   1.048788e-11
7.806503e-02   8.542778e-12
8.090496e-02   1.086928e-11
8.394004e-02   1.372976e-11
8.707230e-02   1.363441e-11
8.863815e-02   1.525536e-11
9.030168e-02   1.639957e-11
9.304118e-02   1.582746e-11
9.372597e-02   1.563676e-11
9.714947e-02   1.487396e-11
1.003766e-01   2.135782e-11
1.013544e-01   1.763912e-11
1.042874e-01   1.516001e-11
1.072199e-01   1.983220e-11
1.081973e-01   1.668562e-11
1.121063e-01   1.706702e-11
1.169913e-01   1.697167e-11
1.199216e-01   1.697167e-11
1.208983e-01   1.706702e-11
1.257810e-01   1.639957e-11
1.277337e-01   2.097642e-11
1.306625e-01   1.754377e-11
1.316386e-01   1.744842e-11
1.355427e-01   1.782983e-11
1.404219e-01   1.802053e-11
1.413976e-01   1.821123e-11
1.453000e-01   1.802053e-11
1.472509e-01   1.868799e-11
1.511523e-01   1.763912e-11
1.540779e-01   1.802053e-11
1.570032e-01   1.744842e-11
1.618779e-01   1.792518e-11
1.687008e-01   1.964150e-11
1.745476e-01   2.202528e-11
1.764963e-01   2.631614e-11
1.813673e-01   2.850924e-11
1.881854e-01   2.450444e-11
1.891593e-01   2.421838e-11
1.950019e-01   2.545797e-11
2.018169e-01   2.412303e-11
2.096037e-01   2.517191e-11
2.125232e-01   2.717431e-11
2.154425e-01   2.622079e-11
2.173885e-01   2.746037e-11
2.222532e-01   2.784177e-11
2.261444e-01   2.707896e-11
2.300352e-01   2.812783e-11
2.339256e-01   2.717431e-11
2.426774e-01   2.469514e-11
2.523993e-01   2.402768e-11
2.611470e-01   2.688826e-11
2.708643e-01   2.955814e-11
2.815509e-01   3.146519e-11
2.912637e-01   3.642359e-11
3.029165e-01   3.966563e-11
3.135955e-01   4.357517e-11
3.145663e-01   4.395659e-11
3.252428e-01   4.491013e-11
3.378576e-01   4.481477e-11
3.465892e-01   4.672187e-11
3.504694e-01   4.338445e-11
3.630783e-01   4.100059e-11
3.659877e-01   4.128666e-11
3.756845e-01   3.937957e-11
3.766541e-01   3.842602e-11
3.911960e-01   4.109594e-11
4.057344e-01   4.405194e-11
4.202696e-01   4.491013e-11
4.367388e-01   4.567297e-11
4.532041e-01   3.966563e-11
4.696655e-01   3.813996e-11
4.870913e-01   3.632823e-11
