# Wideband Direct Detection Constraints on Hidden Photon Dark Matter with the QUALIPHIDE Experiment
# arXiv: https://arxiv.org/abs/2209.03419
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.75
# Corrections applied:
#   DM density: paper=0.3 GeV/cm³ → repo=0.45 GeV/cm³; factor=sqrt(0.45/0.3)=1.2247
# mass [eV]    coupling
1.970000e-06   1.469694e-10
2.050000e-06   1.408457e-10
2.150000e-06   1.347219e-10
2.250000e-06   1.285982e-10
2.350000e-06   1.224745e-10
2.450000e-06   1.200250e-10
2.550000e-06   1.163508e-10
2.650000e-06   1.126765e-10
2.750000e-06   1.102270e-10
2.850000e-06   1.077775e-10
2.950000e-06   1.053281e-10
3.050000e-06   1.041033e-10
3.150000e-06   1.028786e-10
3.250000e-06   1.016538e-10
3.350000e-06   1.004291e-10
3.450000e-06   9.981671e-11
3.550000e-06   9.920433e-11
3.650000e-06   9.859196e-11
3.750000e-06   9.797959e-11
3.850000e-06   9.736722e-11
3.950000e-06   9.675484e-11
4.050000e-06   9.614247e-11
4.150000e-06   9.553010e-11
4.250000e-06   9.491773e-11
4.350000e-06   9.430536e-11
4.450000e-06   9.369298e-11
4.550000e-06   9.308061e-11
4.650000e-06   9.246824e-11
4.750000e-06   9.185587e-11
4.850000e-06   9.124349e-11
4.950000e-06   9.063112e-11
5.050000e-06   9.001875e-11
5.150000e-06   8.940638e-11
5.250000e-06   8.879400e-11
5.350000e-06   8.818163e-11
5.450000e-06   8.756926e-11
5.550000e-06   8.695689e-11
5.650000e-06   8.634451e-11
5.750000e-06   8.573214e-11
5.850000e-06   8.511977e-11
5.950000e-06   8.450740e-11
6.050000e-06   8.389502e-11
6.150000e-06   8.328265e-11
6.250000e-06   8.267028e-11
6.350000e-06   8.205791e-11
6.450000e-06   8.144553e-11
6.550000e-06   8.083316e-11
6.650000e-06   8.022079e-11
6.750000e-06   7.960842e-11
6.850000e-06   7.899604e-11
6.950000e-06   7.838367e-11
