# Dark Photons from Red Dwarfs
# arXiv: https://arxiv.org/abs/2606.25779
# Coupling type: DarkPhoton
# Extracted from: figure_vector
# Confidence level: 0.95
# Extraction confidence: 0.95
# mass [eV]    kinetic mixing chi
1.000000e-01   9.243730e-12
9.999880e-01   9.244170e-13
1.266370e+00   7.299670e-13
1.603700e+00   5.764190e-13
1.623760e+00   5.693020e-13
2.030890e+00   4.551030e-13
2.571880e+00   3.594420e-13
2.636620e+00   3.505990e-13
3.256980e+00   2.838100e-13
4.124580e+00   2.241150e-13
4.281280e+00   2.158500e-13
5.223280e+00   1.769390e-13
6.614660e+00   1.397320e-13
6.951850e+00   1.329730e-13
8.376680e+00   1.103470e-13
1.060810e+01   8.717030e-14
1.128820e+01   8.193270e-14
1.343380e+01   6.884940e-14
1.701230e+01   5.438810e-14
1.832960e+01   5.049210e-14
2.154410e+01   4.296240e-14
2.728300e+01   3.394550e-14
2.976320e+01   3.111560e-14
3.455070e+01   2.679010e-14
4.375430e+01   2.105020e-14
4.832870e+01   1.893700e-14
5.540950e+01   1.624960e-14
7.016960e+01   1.190640e-14
7.847510e+01   1.027390e-14
8.886130e+01   8.330940e-15
1.125320e+02   4.881830e-15
1.274260e+02   3.525630e-15
1.425090e+02   2.807160e-15
1.804700e+02   1.495450e-15
2.069110e+02   1.032220e-15
2.285440e+02   7.370960e-16
2.894230e+02   6.755170e-16
3.359780e+02   7.891970e-16
3.665200e+02   8.907640e-16
4.641530e+02   2.915560e-15
5.455530e+02   1.135640e-14
5.877950e+02   1.389930e-14
7.443720e+02   2.117180e-14
8.858560e+02   2.769480e-14
9.426570e+02   3.050010e-14
1.193760e+03   4.495590e-14
1.438430e+03   6.337810e-14
1.511760e+03   6.998180e-14
1.914460e+03   1.175040e-13
2.335690e+03   1.954600e-13
2.424430e+03   2.173080e-13
3.070250e+03   4.504590e-13
3.792650e+03   9.616970e-13
3.888110e+03   1.060750e-12
4.923830e+03   2.882840e-12
6.158410e+03   8.769310e-12
6.235440e+03   9.348400e-12
7.896430e+03   3.715040e-11
9.999880e+03   1.932180e-10
