# Probing Dark Photons from Nuclear De-excitation in Reactor Neutrino Experiment
# arXiv: https://arxiv.org/abs/2606.08487
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.95
# Extraction confidence: 0.80
# mass [eV]    kinetic mixing chi
3.000000e+05   1.050000e-05
4.000000e+05   1.050000e-05
5.000000e+05   1.050000e-05
6.000000e+05   1.050000e-05
7.000000e+05   1.050000e-05
8.000000e+05   1.050000e-05
9.000000e+05   1.050000e-05
9.800000e+05   1.050000e-05
1.000000e+06   8.000000e-06
1.020000e+06   3.000000e-06
1.040000e+06   8.000000e-07
1.050000e+06   2.500000e-07
1.070000e+06   1.300000e-07
1.100000e+06   1.150000e-07
1.150000e+06   1.100000e-07
1.200000e+06   1.050000e-07
1.300000e+06   9.500000e-08
1.400000e+06   8.800000e-08
1.500000e+06   8.200000e-08
1.700000e+06   7.500000e-08
1.900000e+06   7.000000e-08
2.100000e+06   6.600000e-08
2.300000e+06   6.300000e-08
2.500000e+06   6.000000e-08
2.700000e+06   5.800000e-08
2.850000e+06   5.600000e-08
3.000000e+06   5.400000e-08
3.300000e+06   5.000000e-08
3.600000e+06   4.700000e-08
4.000000e+06   4.400000e-08
4.400000e+06   4.100000e-08
4.800000e+06   3.900000e-08
5.200000e+06   3.700000e-08
5.600000e+06   3.500000e-08
6.000000e+06   3.300000e-08
6.400000e+06   3.200000e-08
6.800000e+06   3.000000e-08
7.000000e+06   2.900000e-08
