# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.65
# mass [eV]    kinetic mixing chi
1.000000e+06   5.000000e-07
1.200000e+06   6.000000e-07
1.500000e+06   7.500000e-07
2.000000e+06   1.000000e-06
2.500000e+06   1.250000e-06
3.000000e+06   1.500000e-06
4.000000e+06   2.000000e-06
5.000000e+06   2.500000e-06
6.000000e+06   3.000000e-06
8.000000e+06   4.000000e-06
1.000000e+07   5.000000e-06
1.200000e+07   6.000000e-06
1.500000e+07   7.500000e-06
2.000000e+07   1.000000e-05
2.500000e+07   1.250000e-05
3.000000e+07   1.500000e-05
4.000000e+07   2.000000e-05
5.000000e+07   2.500000e-05
6.000000e+07   3.000000e-05
8.000000e+07   4.000000e-05
1.000000e+08   5.000000e-05
1.200000e+08   6.000000e-05
1.500000e+08   7.500000e-05
2.000000e+08   1.000000e-04
2.500000e+08   1.250000e-04
3.000000e+08   1.500000e-04
4.000000e+08   2.000000e-04
5.000000e+08   2.500000e-04
6.000000e+08   3.000000e-04
8.000000e+08   4.000000e-04
1.000000e+09   5.000000e-04
