# Dark photon search status in $τ-c$ energy region
# arXiv: https://arxiv.org/abs/2604.27703
# Coupling type: DarkPhoton
# Extracted from: figure_vision
# Confidence level: 0.9
# Extraction confidence: 0.72
# mass [eV]    kinetic mixing chi
1.000000e+06   5.000000e-04
1.500000e+06   3.000000e-04
2.200000e+06   2.000000e-04
3.200000e+06   1.200000e-04
4.600000e+06   8.000000e-05
6.800000e+06   5.000000e-05
1.000000e+07   3.200000e-05
1.460000e+07   2.000000e-05
2.150000e+07   1.300000e-05
3.160000e+07   8.500000e-06
4.640000e+07   5.500000e-06
6.810000e+07   3.600000e-06
1.000000e+08   2.400000e-06
1.460000e+08   1.600000e-06
2.150000e+08   1.100000e-06
3.160000e+08   7.500000e-07
4.640000e+08   5.200000e-07
6.810000e+08   3.800000e-07
1.000000e+09   2.800000e-07
